tid,createUser,subject,cycleTime,tsql,tobox,lastExecuteDate,NextExecuteDate,corpid,corpsecret,yxbz,format,repeat,agentid,timeZone
11,zhouzhen,【监测】【重要】label购买失败,1,"SELECT DISTINCT tul.orderId + ':' + '[' +
                case when tul.WORKTYPE = 19 then 'FEDEX' when tul.WORKTYPE = 144 then 'AmazonLabel' else 'UPS' end +
                ']' + N'[' + CASE
                                 WHEN tul.ERRMESSAGE LIKE '%Length, width, and height must be greater than 0%'
                                     THEN ISNULL(tul.itemCode, '') + N'长宽高为0'
                                 WHEN tul.ERRMESSAGE LIKE '%Not Fedex Ground Or HomeDelivery%'
                                     THEN N'无法购买Ground服务'
                                 WHEN tul.ERRMESSAGE LIKE '%Connection refused: connect%'
                                     THEN N'服务器拒绝请求，等待再次重试'
                                 WHEN
                                     tul.ERRMESSAGE LIKE
                                     '%STANDARD_OVERNIGHT is not supported for the destination%'
                                     THEN N'STANDARD_OVERNIGHT is not supported for the destination'
                                 WHEN tul.ERRMESSAGE LIKE '%Postal Code not found %'
                                     THEN N'城市邮编不匹配 '
                                 ELSE tul.ERRMESSAGE
                    END + ']'
from tuslogheader tuh WITH (nolock)
         inner join tuslogline tul WITH (nolock) ON tuh.hisId = tul.hisId
         inner join tblOrders tbo WITH (nolock) on tbo.PayPalTxID = tul.ORDERID
         left join tblShipments tbs with (nolock) on tbs.StoreID = tbo.StoreID and tbs.OrderNumber = tbo.OrderNumber
where tuh.WORKTYPE IN (19)
  and tul.HISLINEID > 455348556
  and tul.WORKSTATUS in (2, 4)
  and tbo.OrderStatus not in (16, 32)
  and tul.ERRMESSAGE not like N'message:The service is currently unavailable%'
  and isnull(tbs.isInvoicePrinted, 0) <> 1
union
select DISTINCT tbll.sales_order_number + ':' + '[' +
                case when tbll.carrier_id = 3 then 'FEDEX' when tbll.carrier_id = 118 then 'AmazonLabel' else 'UPS' end +
                ']' + N'[' + CASE
                                 WHEN tbll.message LIKE '%Not Fedex Ground Or HomeDelivery%'
                                     THEN N'无法购买Ground服务'
                                 WHEN tbll.message LIKE '%Connection refused: connect%'
                                     THEN N'服务器拒绝请求，等待再次重试'
                                 WHEN
                                     tbll.message LIKE
                                     '%STANDARD_OVERNIGHT is not supported for the destination%'
                                     THEN N'STANDARD_OVERNIGHT is not supported for the destination'
                                 WHEN tbll.message LIKE '%Postal Code not found %'
                                     THEN N'城市邮编不匹配 '
                                 ELSE tbll.message
                    END + ']'
from tbl_buy_label_log tbll with (nolock)
         left join tblOrders tbo with (nolock) on tbll.sales_order_uuid = tbo.sales_order_uuid
         left join tblOrderDetails tod with (nolock)
                   on tbo.StoreID = tod.StoreID and tbo.OrderNumber = tod.OrderNumber and tod.ItemStatus <> 8
         left join tblstoreExts tse with (nolock) on tbll.store_id = tse.StoreID
         left join tblOrderStatus toss with (nolock) on tbo.OrderStatus = toss.OrderStatusID
         left join tblShipments tbs with (nolock) on tbo.StoreID = tbs.StoreID and tbo.OrderNumber = tbs.OrderNumber
where tbll.tracking_number is null
  and tbs.PrintedOn is null
  and tbo.OrderStatus not in (16, 32)
group by tbll.sales_order_number, tbll.carrier_id, tbll.message, tod.ItemCode, tse.StoreID, tse.DisplayName,
         toss.OrderStatus",xiafei|LiuChao|SongYingHui|sujiawei|zhaijianfeng|chenkailiang,2025-07-14 23:15:12.000,2025-07-15 01:15:12.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
23,chenyafei,Wayfair一号店neworder订单数,6,"select N'newOrder订单总数 -> ' + CONVERT(VARCHAR(4), count(*))
from tblOrders tos with (nolock)
where tos.OrderStatus = 1
  and tos.StoreID = 48
  and tos.OrderDate > '2023-05-01'
  and tos.createDate < getdate() - 0.1
group by StoreID
union
select N'近4天newOrder数 -> ' + CONVERT(VARCHAR(4), count(*))
from tblOrders tos with (nolock)
where tos.OrderStatus = 1
  and tos.StoreID = 48
  and tos.OrderDate > getdate() - 4
  and tos.createDate < getdate() - 0.1
group by StoreID",LiuChao|ZhaoYiFan|xiafei|WuPanZhi|songyinghui|sujiawei|zhaijianfeng,2025-07-14 23:01:00.000,2025-07-15 05:01:00.000,,,1,3,1,1000013,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
25,dongwenhua,【重要】订单金额不一致监控,1,"select orderId
from (select m.StoreID, m.DisplayName, m.orderId, m.CalTotal, sum(m.subTotal) as res
      from (SELECT tor.storeid,
                   tse.DisplayName,
                   tor.orderstatus,
                   tor.OrderTotal,
                   tor.TaxAmount,
                   tor.DiscountAmount,
                   tor.ShipAmount,
                   ISNULL(ISNULL(tod.ExternalComboItem, tod.sourceComboItem), tod.ItemCode)          as ItemCode,
                   tor.OrderTotal - tor.TaxAmount + tor.DiscountAmount - case tse.StoreType
                                                                             when 'fba' then 0
                                                                             else tor.ShipAmount end as CalTotal,
                   case tor.storeid
                       when 208 then tod.UnitPrice
                       else
                           sum(tod.AdjQty * tod.UnitPrice) end                                       as subTotal,
                   tor.PayPalTxID                                                                    as orderId
            FROM tblorders tor with (nolock)
                     INNER JOIN tblorderDetails tod with (nolock)
                                on tod.storeid = tor.storeid and tod.orderNumber = tor.orderNumber
                     INNER JOIN tblstoreExts tse with (nolock) on tse.storeId = tor.storeId
            where tor.OrderStatus not in (16,32)
              and (tor.storeid not in (120, 226, 205, 212, 250, 260, 270, 280, 276, 277,888)
                or tor.buyerid in (1817,4173,6841))

              and tse.data_push_system != 'OHUB'

              and ISNULL(tse.noble_mark, 0) <> 1
              and tor.createDate > getdate() - 3
              and tod.ItemStatus <> 8
              and tor.OrderTotal > 10
              and isnull(tod.UnitPrice, 0) >= 0.5
            GROUP by tor.storeId, tor.OrderNumber, tor.OrderTotal, tod.UnitPrice,
                     tor.TaxAmount,
                     tor.DiscountAmount,
                     tor.ShipAmount,
                     tse.StoreType,
                     tor.PayPalTxID,
                     tor.orderstatus,
                     ISNULL(ISNULL(tod.ExternalComboItem, tod.sourceComboItem), tod.ItemCode),
                     tse.DisplayName
            having (tor.OrderTotal - tor.TaxAmount + tor.DiscountAmount - tor.ShipAmount) <>
                   sum(tod.AdjQty * tod.UnitPrice)
               --order by storeId, PayPalTxID
           ) m
      group by m.StoreID, m.DisplayName, m.CalTotal, m.orderId
      having (m.CalTotal <> sum(m.subTotal))) t",xiafei|LiuChao|LiZhenBiao|sujiawei|zhaijianfeng|chenkailiang,2025-07-14 23:28:09.000,2025-07-15 00:28:09.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
31,liuchao,DownLoad DropShip Pdf And BOL From B2B监控,1,"select   N'B2B DropShip Pdf And BOL下载 -> '+ CONVERT(VARCHAR(4),count(*) )
                   from
                   (select
                   tblo.paypaltxid,
                   yzc.url,
                   yzc.CutType,
                   tblo.createDate,
                   tbls.shipmentid,
                   tbls.CreationDate,
                   tbwe.warehouseCode
                   from tblShipments tbls with(nolock)
                   join tblOrders tblo with(nolock)  on tbls.storeid=tblo.storeid and tbls.ordernumber=tblo.ordernumber
                   join tblOrderDetails tbld with(nolock) on tblo.storeid=tbld.storeid and tblo.ordernumber=tbld.ordernumber and tbls.shipmentid=tbld.shipmentid
                   join tblWarehouseExts tbwe with(nolock) on tbls.AssignedTo=tbwe.warehouseId
                   left join tblYzcOrders yzc with(nolock) on yzc.orderid=tblo.PayPalTxID and yzc.LineItemNumber = tbld.ItemNumber
                   where 1=1
                   and tblo.orderstatus ='2'
                   and tbld.itemstatus in('1')
                   and tbls.Status in('1')
                   and tbwe.warehouseType='OSW'
                   and tbwe.warehouseCode!='CAL1'
                   and tblo.StoreID in(205,212,276,277)
                   and yzc.url is not null
                   and not exists (select * from tblDropshipLabel tdl with(nolock) where tdl.shipmentid=tbls.shipmentid)
                   and not exists (select * from tbl_extra_shipping_file tesf with(nolock) where tesf.shipment_id=tbls.shipmentid)
                   and not exists (select * from tbl_common_shipping_file tcsf with(nolock) where tcsf.shipment_id=tbls.shipmentid)
                   and tbls.isInvoicePrinted = 0
                   and tbls.CreationDate > getdate() - 3
                   ) tt",xiafei|LiuChao|songyinghui|shenzhenxing|sujiawei|zhaijianfeng,2025-07-14 23:33:34.000,2025-07-15 00:33:34.000,,,1,3,1,1000012,"1,2,3"
44,dwh,BOB店铺订单没有发货单,1,"select tos.PayPalTxID + '_' + replace(tod.ItemCode, '-001', '') + '_' +
       case when isnull(att.carrier_code, '') = '' then '(no carrier)' else att.carrier_code end + '_' +
       case when isnull(carrier_service_level_code, '') = '' then '(no service)' else att.carrier_service_level_code end +
       '_' + toss.OrderStatus
from tblorders tos with (nolock)
         join tblOrderDetails tOD with (nolock) on tos.StoreID = tOD.StoreID and tos.OrderNumber = tOD.OrderNumber
         left join tbl_item_code_attachment att with (nolock)
                   on att.sales_order_number = tos.PayPalTxID and tod.ItemNumber = att.line_item_number
         left join tblShipments tS with (nolock) on tOD.ShipmentID = tS.ShipmentID
         join tblOrderStatus toss on toss.OrderStatusID = tos.OrderStatus
where tos.StoreID in (250, 260, 270, 280)
  and tos.OrderStatus in (1, 2, 4)
  and ts.ShipmentID is null
  and tod.ItemStatus <> 8
  and tos.createDate > getdate() - 3;",xiafei|liuchao|songyinghui|sujiawei|zhaijianfeng,2025-07-15 00:00:00.000,2025-07-15 01:00:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
45,liuchao,有明细未生成发货单监控,1,"select distinct PayPalTxID from tblorders tor with (nolock)
  inner join tblOrderDetails tod with (nolock) on tor.StoreID = tod.StoreID and tor.OrderNumber = tod.OrderNumber and tod.ItemStatus <> 8
left join tblShipments tss with(nolock) on tod.ShipmentID = tss.ShipmentID
where tss.ShipmentID is null and tor.OrderStatus = 2 and tor.createDate >= getdate() -3 and tor.createDate < getdate()-0.1",xiafei|LiuChao|songyinghui|sujiawei|zhaijianfeng|chenkailiang,2025-07-14 23:00:00.000,2025-07-15 01:00:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
46,liuchao,云送仓订单超过7天未上传label,24,"select distinct tor.PayPalTxID
from TblCloudWarehouseOrders TCWO with (nolock)
       inner join tblOrders tor with (nolock) on TCWO.OrderID = tor.PayPalTxID
where tor.OrderStatus not in (16, 32)
  and TCWO.CreationDate < getdate()-7
  and not exists(select 1
                 from TblCloudWarehouseLabel tcc with (nolock)
                 where tcc.OrderID = TCWO.OrderID
                   and tcc.BatchCode = TCWO.BatchCode)",xiafei|LiuChao|sujiawei|zhaijianfeng,2025-07-14 20:00:00.000,2025-07-15 20:00:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
47,liuchao,同步文件超时未执行,1,"select id as taskId from tblSyncTask  with (nolock) where errMsg ='Time out' and PostValue not in ('{""id"":""12"",""authKey"":""f66dd6c0-494d-11e9-a242-0235d2b38928""}') and CreateTime >= '2022-04-08'
                   order by CreateTime DESC",xiafei|LiuChao|sujiawei|zhaijianfeng,2025-07-15 00:00:00.000,2025-07-15 01:00:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
48,liuchao,数据库死锁监控,1,"SELECT distinct der.[blocking_session_id]
                   FROM sys.[dm_exec_requests] AS der
                   INNER JOIN master.dbo.sysprocesses AS sp ON der.session_id = sp.spid
                   CROSS APPLY sys.[dm_exec_sql_text](der.[sql_handle]) AS dest
                   WHERE [blocking_session_id]>0 and wait_time >60000",xiafei|LiuChao|sujiawei|zhaijianfeng|chenkailiang,2025-07-15 00:00:00.000,2025-07-15 01:00:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
51,liuchao,"易仓上门取货卡车订单监控
",1,"select distinct tor.paypaltxid as ""销售订单号"" from tblorders tor with(nolock)
                   inner join tblOrderDetails tOD with(nolock) on tor.StoreID = tOD.StoreID and tor.OrderNumber = tOD.OrderNumber
                   inner join tblshipments tss with(nolock) on tss.ShipmentID = toD.ShipmentID
                   where tor.OrderStatus not in (16,32)and tss.AssignedTo in (78,80,94,92,90) and tor.storeId in (205,212,276,277) and Carrier = 7",ShenLing|LiuChao|ChenHuiZhu|ShiShanShan|sujiawei|zhaijianfeng,2025-07-15 00:00:00.000,2025-07-15 01:00:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
53,songshenghua,WM店铺手动换仓企业微信提醒,1,"SELECT 'storeId:' + CONVERT(varchar(50), ttat.store_id) + '||StoreName:' +
       ts.StoreName + '||orderNumber:' +
       CONVERT(varchar(50), ttat.order_number) + '||buyerCode:' +
       CONVERT(varchar(50), ttat.buyer_code) + '||oldWarehouse:' +
       ttat.change_from + '||newWarehouse:' +
       ttat.change_to
FROM tbl_order_transaction_audit_trail ttat WITH (NOLOCK)
         LEFT JOIN tblstores ts WITH (NOLOCK) ON ttat.store_id = ts.StoreID
WHERE DATEDIFF(MINUTE, created_date_time, GETDATE()) <= 60
  AND ttat.store_id = 182
  AND operation_type = 28",LiuChao|gaoxuewen|wangjie|sujiawei|zhaijianfeng,2025-07-15 00:00:00.000,2025-07-15 01:00:00.000,,,1,3,3,1000013,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
58,liuchao,Walmart分单失败监控,1,"select distinct PayPalTxID from dbo.tblorders tor with (nolock)
                                                       inner join dbo.tblOrderDetails tod with (nolock) on tor.StoreID = tod.StoreID and tor.OrderNumber = tod.OrderNumber and tod.ItemStatus <> 8
                                                       left join dbo.tblShipments tss with(nolock) on tod.ShipmentID = tss.ShipmentID
                   where tor.storeid = 182 and tss.ShipmentID is null and tor.OrderStatus = 1",LiuTingTing|WangJie|GaoXueWen|LiuChao|sujiawei|zhaijianfeng,2025-07-15 00:00:00.000,2025-07-15 01:00:00.000,,,1,3,1,1000013,"0,17"
64,liuchao,B2B疑似服务店铺（seller id=694）的订单,24,"select distinct PayPalTxID from tblOrders tor with(nolock)
                   inner join tblOrderDetails tOD on tor.StoreID = tOD.StoreID and tor.OrderNumber = tOD.OrderNumber
                   where tOD.sellerId = 694 and createDate > '2022-01-26'",xiafei|LiuChao|SongYingHui|sujiawei|zhaijianfeng,2022-11-23 17:00:00.000,2022-11-24 17:00:00.000,,,1,3,1,1000012,17
