subject,field40,NextExecuteDate,cycleTime
每日盘点美国仓库BO数据,10 22 * * *,2025-07-01 22:10:00.000,24
【重要】大健云BO订单,0 21 * * *,2025-07-01 21:00:00.000,24
【WOS-监控】大健云 New Order And OnHold 订单,0 * * * *,2025-07-01 03:00:00.000,1
【B2B-监控】【重要】FedEx、UPS、Amazon Buy Label 失败,10 * * * *,2025-07-01 03:10:00.000,1
【WOS-监控】美国仓库已发单数日报,30 16 * * *,2025-07-01 16:30:00.000,24
【WOS-监控】【CA时间19点】美国仓库待发单统计,15 19 * * *,2025-07-01 19:15:51.000,24
【WOS-监控】【CA时间2点AM】美国仓库待发单统计,15 2 * * *,2025-07-02 02:15:51.000,24
【DRP-监控】B2B LTL长期未发单,0 19 * * *,2025-07-01 19:00:00.000,24
【DRP-监控】自营 LTL长期未发单,0 19 * * *,2025-07-01 19:00:00.000,24
【DRP-监控】卡车备货异常监控,0 19 * * *,2025-07-01 19:00:00.000,24
FedEx、UPS、Amazon Buy Label失败,"0 2,8,14,20 * * *",2025-07-01 08:00:00.000,6
【DRP-监控】【重要】外部仓库（易仓）对接订单异常,45 21 * * *,2025-07-01 21:45:33.000,24
Being Process的Overnight订单,0 20 * * *,2025-07-01 20:00:00.000,24
【DRP-监控】【重要】ATX4仓库（易仓）对接订单异常,45 21 * * *,2025-07-01 21:45:33.000,24
new order订单有冻结库存,10 2 * * *,2025-07-02 02:10:00.000,24
22年10月1日之后未分单数据,"12 2,8,14,20 * * *",2025-07-01 08:12:00.000,6
Being Process的Overnight订单,0 20 * * *,2025-07-01 20:00:00.000,24
【DRP-监控】3PL LTL长期未发单,0 19 * * *,2025-07-01 19:00:00.000,24
DRP系统买单账号使用异常统计,"10 4,12,20 * * *",2025-07-01 04:10:00.000,8
【DRP-监控】合作仓订单超3天未推送,"0 2,10,18 * * *",2025-07-01 10:00:18.000,8
【DRP-监控】合作仓库超过3天未发货订单,0 2 * * *,2025-07-02 02:00:18.000,24
【取消超时】B2B调用DRP取消接口超时,10 * * * *,2025-07-01 03:10:00.000,1
【DRP-监控】B2B取消/拦截接口返回失败,10 * * * *,2025-07-01 03:10:00.000,1
WMS库存及库位数据未及时同步到DRP,23 3 * * *,2025-07-01 03:23:39.000,24
【Noble监控】【重要】FedEx、UPS Buy Label 失败 - DRP,10 * * * *,2025-07-01 03:10:45.000,1
【Noble监控】【重要】FedEx、UPS Buy Label 失败 - DRP,10 * * * *,2025-07-01 03:10:45.000,1
【Noble监控】【重要】FedEx、UPS Buy Label 失败 - DRP,10 * * * *,2025-07-01 03:10:45.000,1
【Noble监控】【重要】FedEx、UPS Buy Label 失败 - DRP,10 * * * *,2025-07-01 03:10:45.000,1
【Noble监控】【重要】FedEx、UPS Buy Label 失败 - DRP,10 * * * *,2025-07-01 03:10:45.000,1
【Noble监控】【重要】FedEx、UPS、Amazon Buy Label 失败 - DRP,10 * * * *,2025-07-01 03:10:45.000,1
【DRP监控】订单正式表与统一临时表明细数量不一致监控,0 * * * *,2025-07-01 03:00:18.000,1
【DRP监控】Purolator快递订单数据统计,0 0 * * *,2025-07-02 00:00:00.000,24
【DRP监控】B2B取消/拦截接口返回失败,0 * * * *,2025-07-01 03:00:18.000,1
【DRP监控】订单统一临时表与B2B临时表明细数量不一致监控,0 * * * *,2025-07-01 03:00:18.000,1
【US_DRP】24小时内Roadie买单成功的发货单量统计,0 * * * *,2025-07-01 01:00:35.000,1
【US_DRP】UPS Roadie Buy Label 失败,0 * * * *,2025-07-01 01:00:00.000,1
新【B2B-监控】【重要】FedEx、UPS、Amazon Buy Label 失败,10 * * * *,2025-07-01 03:10:00.000,1
新FedEx、UPS、Amazon Buy Label失败,"0 2,8,14,20 * * *",2025-07-01 08:00:00.000,6
新204【Noble监控】【重要】FedEx、UPS Buy Label 失败 - DRP,10 * * * *,2025-07-01 03:10:45.000,1
新205【Noble监控】【重要】FedEx、UPS Buy Label 失败 - DRP,10 * * * *,2025-07-01 03:10:45.000,1
新206【Noble监控】【重要】FedEx、UPS Buy Label 失败 - DRP,10 * * * *,2025-07-01 03:10:45.000,1
新207【Noble监控】【重要】FedEx、UPS Buy Label 失败 - DRP,10 * * * *,2025-07-01 03:10:45.000,1
新208【Noble监控】【重要】FedEx、UPS Buy Label 失败 - DRP,10 * * * *,2025-07-01 03:10:45.000,1
新209【Noble监控】【重要】FedEx、UPS、Amazon Buy Label 失败 - DRP,10 * * * *,2025-07-01 03:10:45.000,1
